combination_id,x_m,shear_kn,moment_knm
SLS_QUASI_PERMANENT,3.75,-12.1875,20.976562
SLS_QUASI_PERMANENT,3.8,-12.555,20.358
SLS_QUASI_PERMANENT,3.85,-12.9225,19.721063
SLS_QUASI_PERMANENT,3.9,-13.29,19.06575
SLS_QUASI_PERMANENT,3.95,-13.6575,18.392063
SLS_QUASI_PERMANENT,4.0,-14.025,17.7
SLS_QUASI_PERMANENT,4.05,-14.3925,16.989562
SLS_QUASI_PERMANENT,4.1,-14.76,16.26075
SLS_QUASI_PERMANENT,4.15,-15.1275,15.513562
SLS_QUASI_PERMANENT,4.2,-15.495,14.748
SLS_QUASI_PERMANENT,4.25,-15.8625,13.964062
SLS_QUASI_PERMANENT,4.3,-16.23,13.16175
SLS_QUASI_PERMANENT,4.35,-16.5975,12.341063
SLS_QUASI_PERMANENT,4.4,-16.965,11.502
SLS_QUASI_PERMANENT,4.45,-17.3325,10.644562
SLS_QUASI_PERMANENT,4.5,-17.7,9.76875
SLS_QUASI_PERMANENT,4.55,-18.0675,8.874563
SLS_QUASI_PERMANENT,4.6,-18.435,7.962
SLS_QUASI_PERMANENT,4.65,-18.8025,7.031063
SLS_QUASI_PERMANENT,4.7,-19.17,6.08175
SLS_QUASI_PERMANENT,4.75,-19.5375,5.114063
SLS_QUASI_PERMANENT,4.8,-19.905,4.128
SLS_QUASI_PERMANENT,4.85,-20.2725,3.123563
SLS_QUASI_PERMANENT,4.9,-20.64,2.10075
SLS_QUASI_PERMANENT,4.95,-21.0075,1.059562
SLS_QUASI_PERMANENT,5.0,-21.375,0.0
